"","CO_CURSO","NO_IES","DROPOUT_RATE"
"1",2,"UNIVERSIDADE FEDERAL DE MATO GROSSO",0.00833333333333333
"2",122,"UNIVERSIDADE DE BRASÍLIA",0.0775193798449612
"3",378,"UNIVERSIDADE FEDERAL DO AMAZONAS",0.0672268907563025
"4",492,"UNIVERSIDADE FEDERAL DO PIAUÍ",0.0579710144927536
"5",502,"UNIVERSIDADE FEDERAL DO PIAUÍ",0.222222222222222
"6",686,"UNIVERSIDADE FEDERAL DE VIÇOSA",0.117647058823529
"7",765,"UNIVERSIDADE ESTADUAL DE LONDRINA",0.0420168067226891
"8",1027,"UNIVERSIDADE FEDERAL DO RIO GRANDE",0.0862068965517241
"9",1104,"UNIVERSIDADE DE CAXIAS DO SUL",0.0638297872340425
"10",1232,"UNIVERSIDADE DO VALE DO RIO DOS SINOS",0.0384615384615385
"11",1431,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA",0.0123456790123457
"12",1652,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS",0.0411764705882353
"13",1735,"UNIVERSIDADE DE PASSO FUNDO",0.2
"14",1890,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL",0.0588235294117647
"15",2011,"UNIVERSIDADE PRESBITERIANA MACKENZIE",0.021978021978022
"16",2111,"UNIVERSIDADE ESTADUAL DE SANTA CRUZ",0.196261682242991
"17",2618,"UNIVERSIDADE ESTADUAL DE GOIÁS",0.142857142857143
"18",2697,"UNIVERSIDADE ESTADUAL DE CAMPINAS",0.0394736842105263
"19",3129,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",0.0535714285714286
"20",3559,"UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE",0.0862068965517241
"21",4191,"UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI",0.271028037383178
"22",4726,"UNIVERSIDADE DE SOROCABA",0.156862745098039
"23",5383,"FACULDADE PRESBITERIANA MACKENZIE RIO",0.0408163265306122
"24",5412,"FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ",0.0454545454545455
"25",5476,"UNIVERSIDADE SÃO JUDAS TADEU",0.221052631578947
"26",5575,"CENTRO UNIVERSITÁRIO MOURA LACERDA",0.365853658536585
"27",5717,"CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO",0.123348017621145
"28",7507,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",0.0700636942675159
"29",7623,"CENTRO UNIVERSITÁRIO UNA",0.13953488372093
"30",7939,"CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS",0.310924369747899
"31",8044,"CENTRO UNIVERSITÁRIO PADRE ANCHIETA",0.125
